cytoband	9p21.3	1p36.31	10q23.31	13q14.2	19q13.41	2q37.1	4q35.2	11p15.4	12p13.2	17q11.2	3q28	14q24.3	10q26.13	15q15.1	6q24.3	15q21.2	22q13.32	1q43	3p26.3	3p14.1	
					DMPK	PER2	SNX25	ILK	TAS2R7	RPL19		OTX2	PNLIPRP2	MEIS2	LAMA4	MNS1	TCF20	PSEN2		CD80	
					DMWD	LRRFIP1	ZFP42	INS	TAS2R13	CCL1		PGF	HTRA1	MFAP1	LPA	MYO5C	TEF	RAB4A		CD86	
					MEGF8	ECEL1	ENPP6	IRF7	TAS2R10	CCL2		PIGH	PTPRE	TRPM1	MARCKS	KIAA1370	UPK3A	RGS7		ENTPD3	
					EMP3	EIF4E2	FLJ30277	KCNQ1	TAS2R14	CCL3		PPM1A	RGS10	OCA2	MAN1A1	RFXDC2	CELSR1	RYR2		CD47	
					ERCC1	HDAC4	RWDD4A	LMO1	HEBP1	CCL3L1		PPP2R5E	SLC18A2	PLCB2	MAS1	SLTM	SAPS2	SRP9		CDC25A	
					ERCC2	FARP2	CCDC111	LSP1	DDX47	CCL4		PRKCH	TCF7L2	RAD51	MAP3K4	GRINL1A	ZBED4	TARBP1		CISH	
					ERF	ARL4C	FLJ25801	MUC2	CLEC1A	CCL5		PSEN1	TECTB	RYR3	MAP3K5	CGNL1	RBX1	TBCE		CCR1	
					ETFB	RAMP1	CCDC110	NAP1L4	MANSC1	CCL7		PSMA3	TIAL1	SCG5	MLLT4	LEO1	SCO2	LEFTY2		CCR2	
					FCAR	NMUR1	CYP4V2	NUP98	FLJ10292	CCL8		ABCD4	UROS	SLC12A1	MYB	Gcom1	PKDREJ	GPR137B		CCR3	
					FCGRT	STK25	FLJ36180	SLC22A18	STYK1	CCL11		RAD51L1	ADAM12	SORD	NMBR	DYX1C1	SLC25A17	TP53BP2		CCR4	
					FLT3LG	COPS8	ANKRD37	SLC22A18AS	GPRC5D	CCL13		ARID4A	UTF1	SPINT1	OPRM1	LYSMD2	NUP50	TSNAX		CCR5	
					FOSB	CAPN10	HELT	POLR2L	ATF7IP	CCL14		RTN1	EIF3S10	SRP14	PARK2	WDR72	TOB2	WNT9A		CCR8	
					FPR1	PASK	FRG2	PSMD13	KIAA1467	CCL15		SEL1L	BUB3	THBS1	PCMT1	PRTG	RABL2B	ZNF124		CCBP2	
					FPRL1	ATG4B	DUX4C	RNH1	CLEC7A	CCL16		SFRS5	BAG3	TJP1	PDCD2	GLDN	PACSIN2	HIST3H3		COL7A1	
					FPRL2	SH3BP4		MRPL23	BCL2L14	CCL18		SIX1	FAM53B	TP53BP1	ENPP1	TEX9	DIP	GNPAT		COL8A1	
					FTL	NGEF		RPL27A	DUSP16	CCL23		SLC8A3	DCLRE1A	TYRO3	ENPP3	TNFAIP8L3	TTLL12	CDC42BPA		CP	
					FUT1	TNRC15		RPLP2	APOLD1	SLC6A4		SLC10A1	TXNL2	SLC30A4	PEX7		MLC1	DEGS1		CPA3	
					FUT2	TRAF3IP1		RRM1	GSG1	TADA2L		SNAPC1	DPYSL4	EIF3S1	PLAGL1		ZC3H7B	KMO		CPB1	
					GIPR	TMEM16G		SCT	LOH12CR1	TCF2		SPTB	TACC2	PLA2G4B	PLG		C22orf9	TAF1A		CPOX	
					GPR4	PRLH		SMPD1	C12orf59	THRA		TGFB3	TUBGCP2	SNAP23	PLN		MAPK8IP2	EXO1		CSTA	
					GPR32	THAP4		TRIM21	TAS2R43	PCGF2		TSHR	PRDX3	HERC2	PKIB		BRD1	GGPS1		CTNNB1	
					GRIK5	ANKMY1		ST5	TAS2R44	ZNF207		ZBTB25	VAX1	USP8	PSMB1		ARHGAP8	TMEM63A		CX3CR1	
					GRIN2D	SCLY		STIM1	TAS2R46	TAF15		DPF3	ATE1	SLC28A2	PTPRK		TBC1D22A	TOMM20		CYP8B1	
					GRLF1	ASB1		TAF10	TAS2R48	PIP5K2B		NUMB	SEC23IP	COPS2	REV3L		TTLL1	KIAA0133		DAG1	
					GSK3A	UGT1A10		TALDO1	TAS2R49	TCAP		ADAM21	RAB11FIP2	TGM5	ROS1		SAMM50	CEP170		DAZL	
					GYS1	UGT1A8		TH	TAS2R50	CDK5R1		ADAM20	INPP5F	HISPPD2A	RPS6KA2		ATXN10	AKT3		DNASE1L3	
					HAS1	UGT1A7		TSPAN4	C12orf36	ZNHIT3		WDR22	DUX4	AQR	RPS12		FAM19A5	ZNF238		DOCK3	
					FOXA3	UGT1A6		TNNI2	TAS2R42	RPL23		ALKBH1	KIAA0157	KIAA0256	SGK		SULT4A1	LEFTY1		DRD3	
					HRC	UGT1A5		TNNT3	PRB2	GOSR1		EIF2B2	ATRNL1	ARHGAP11A	SLC22A1		RIBC2	SPHAR		DUSP7	
					PRMT1	UGT1A9		PHLDA2		CCL4L1		PNMA1	C10orf137	LCMT2	SLC22A3		ARFGAP3	CAPN9		CELSR3	
					IL11	UGT1A4		TUB		NR1D1		NRXN3	VENTX	SLC12A6	SLC22A2		SMC1B	SDCCAG8		EPHA3	
					IRF3	UGT1A1		WEE1		THRAP4		AKAP5	CUZD1	RASGRP1	SMPD2		CSDC2	DUSP10		EPHB1	
					KCNA7	UGT1A3		ZNF143		CCT6B		SPTLC2	DRD1IP	SERF2	SOD2		CGI-96	COG2		FANCD2	
					KCNC3	ATG16L1		ZNF195		STARD3		RGS6	GALNAC4S-6ST	SLC27A2	T		MCAT	RBM34		FBLN2	
					KCNJ14	USP40		ZNF214		DDX52		KIAA0247	ACSL5	GPR176	TBP		D15Wsu75e	FBXO28		FHIT	
					KCNN4	DKFZp762E1312		ZNF215		DUSP14		KIAA0586	ZRANB1	CHP	TCF21		PARVB	ABCB10		FLNB	
					KIR2DL1	HES6		RASSF7		AP1GBP1		KIAA0317	C10orf92	OIP5	TCP1		NCAPH2	OPN3		GAP43	
					KIR2DL3	CXCR7		PPFIBP2		IKZF3		MED6	NSMCE4A	BAHD1	TCP10		GTSE1	TRIM58		GATA2	
					KIR2DL4	RNPEPL1		IFITM1		SUZ12		GPHN	C10orf118	MTMR15	TCTE3		A4GALT	AHCTF1		GBE1	
					KIR2DS4	GAL3ST2		OR6A2		TMEM98		VTI1B	BRWD2	CEP152	DYNLT1		MOV10L1	OR1C1		GLB1	
					KIR3DL1	RAB17		DCHS1		DKFZP434O047		BATF	DHX32	MAPKBP1	THBS2		FAM118A	OR2M4		GNAI2	
					KIR3DL2	COPS7B		EIF3S5		AATF		NPC2	PPP2R2D	GOLGA8A	NR2E1		FLJ20699	OR2L2		GNAT1	
					KLK1	TRPM8		BRSK2		GIT1		AHSA1	FAM45B	RTF1	TNFAIP3		C22orf26	OR2T1		GOLGA4	
					KLK2	MLPH		MICAL2		SOCS7		EXOC5	TDRD1	VPS39	TPD52L1		MIOX	TAF5L		GOLGB1	
					LAIR1	IQCA		CTR9		CRLF3		ACOT2	BCCIP	CCNDBP1	TSPYL1		PRR5	DISC1		GP9	
					LAIR2	FLJ22671		TSPAN32		CRKRS		TMED10	GPAM	EID1	UTRN		TRMU	CNIH4		XCR1	
					LHB	EFHD1		TSSC4		NLE1		C14orf1	KIAA1598	HYPK	VIL2		SEPT3	PYCR2		GPR15	
					LIG1	ILKAP		MRVI1		FNDC8		VASH1	KIAA1600	TMEM87A	VIP		PANX2	C1orf121		GPR27	
					LIM2	ING5		TRIM22		CCDC49		ZBTB1	PLEKHA1	RPAP1	EPM2A		XPNPEP3	SCCPDH		GPX1	
					LIPE	CENTG2		IFITM3		SLFN12		SNW1	C10orf84	PLDN	STX7		PARVG	TRIM17		GRM2	
					BCAM	TWIST2		DEAF1		RHOT1		PCNX	LHPP	GREM1	PEX3		CERK	ARID4B		GRM7	
					MYBPC2	MGC42174		IPO7		C17orf79		DAAM1	IKZF5	RPUSD2	DDO		FLJ23588	EGLN1		GSK3B	
					NDUFA3	NEU4		IFITM2		CENTA2		TTLL5	ZDHHC6	76P	RNASET2		CENPM	MOSC2		GTF2E1	
					NKG7	MTERFD2		TRIM3		UTP6		SYNE2	C10orf119	EHD4	STX11		ALG12	SUSD4		GYG1	
					CNOT3	UBE2F		XLKD1		GSDML		ANGEL1	C10orf81	DUOX2	SNX3		CRELD2	HEATR1		HCLS1	
					NOVA2	OTOS		PKP3		PLXDC1		ZFYVE26	C10orf88	MYEF2	CD164		FLJ23584	ZNF692		HGD	
					NPAS1	MYEOV2		SWAP70		LYZL6		FLRT2	LRRC27	NDUFAF1	WISP3		CCDC134	ENAH		HRH1	
					NTF5	OR6B3		RAB6IP1		TAOK1		PLEKHG3	GPR123	NUSAP1	SYNJ2		ADM2	NUP133		HTR1F	
					NUCB1	C2orf52		KIAA0409		C17orf75		SIPA1L1	NKX6-2	TMEM85	VNN2		SCUBE1	ERO1LB		HYAL1	
					PAFAH1B3	MGC35154		SIRT3		MMP28		WDR21A	KIAA1914	SPTBN5	VNN1		TRABD	FMN2		IMPDH2	
					PEG3	TIGD1		OR52A1		MGC4172		PLEK2	KNDC1	CTDSPL2	WASF1		PNPLA3	CABC1		IRAK2	
					PLAUR	LOC285193		ARFIP2		C17orf42		TIMM9	MTG1	KLF13	TAAR5		SELO	ZNF695		ITGA9	
					POLD1	ESPNL		OR10A3		ZNF403		MLH3	FANK1	DUOX1	MAP7		L3MBTL2	GJA12		ITGB5	
					POU2F2	AQP12A		FXC1		C17orf41		KCNH5	SYCE1	DLL4	LATS1		HDAC10	SIPA1L2		ITIH1	
					PPP2R1A	FLJ43374		DKK3		MRM1		POMT2	PRAP1	INOC1	TAAR2		LDOC1L	ZP4		ITIH3	
					PPP5C	UNQ830		HNRNPG-T		MYOHD1		COQ6	ZNF511	TRPM7	CRSP3		POLDIP3	RHOU		ITIH4	
					PRKCG	OR6B2		FRAG1		SNIP		C14orf111	C10orf90	PPP1R14D	QKI		PHF5A	TFB2M		ITPR1	
					PRRG2	C2orf19		TRPM5		CCDC55		RDH11	BTBD16	MTMR10	AKAP7		TUBGCP6	GREM2		KPNA1	
					KLK7	ASB18		UBQLN3		PPP1R1B		C14orf112	FAM24A	ZNF770	TBPL1		TMEM153	ACBD3		LAMB2	
					KLK6	FLJ43879		RNF141		TBC1D3		DACT1	C10orf89	CEP27	WTAP		C22orf32	SMYD3		RPSA	
					KLK10	FLJ45964		IGF2AS		RNF135		ATP6V1D	MMP21	FAM82C	AKAP12		SERHL	MOSC1		LSAMP	
					PSG1	HCG3		BET1L		C17orf37		C14orf100	PDZD8	DNAJC17	KIAA0408		PHF21B	ARV1		LTF	
					PSG2	D2HGDH		CEND1		MRPL45		DHRS7	CLRN3	NOLA3	PHACTR2		KLHDC7B	C1orf80		TM4SF1	
					PSG3			CYB5R2		RAB11FIP4		SIX4	PNLIPRP3	NDNL2	BCLAF1		TNFRSF13C	JMJD4		MAP4	
					PSG4			TRIM34		CORO6		ZFYVE1	SFXN4	C15orf24	ZBTB24		DNAJB7	C1orf35		MCM2	
					PSG5			MUCDHL		FBXL20		C14orf105	CPXM2	PAK6	KIAA0274		MEI1	TTC13		MITF	
					PSG6			TOLLIP		SSH2		EXDL2	TRUB1	DTWD1	UST		FAM109B	PGBD5		MLH1	
					PSG7			USP47		TP53I13		C14orf115	VTI1A	CASC5	TRDN		NFAM1	C1orf115		MOBP	
					PSG9			TRIM68		CCDC16		SYNJ2BP	C10orf82	AVEN	CITED2		PNPLA5	KIAA1822L		CD200	
					PSG11			LRDD		SLFN11		SLC39A9	C10orf46	ATP10A	TRAF3IP2		LOC150383	ZNF669		MST1	
					PTGIR			KCNQ1DN		RASL10B		C14orf58	C10orf91	CX36	HBS1L		WBP2NL	ZNF672		MST1R	
					PTPRH			MMP26		PERLD1		C14orf118	PWWP2	VPS18	PDE10A		POLR3H	PCNXL2		MYD88	
					PVR			C11orf17		ORMDL3		C14orf108	PPAPDC1A	SQRDL	SMPDL3A		SERHL2	WDR26		MYL3	
					PVRL2			C11orf16		LRRC37B		ACTR10	PAOX	ZFP106	RAB32		MGC70863	SH3BP5L		MYLK	
					RELB			TMEM9B		LOC116236		C14orf162	FAM24B	SPATA5L1	KATNA1		C22orf34	OR2G3		NCK1	
					RPL18			NRIP3		RFFL		ADCK1	EBF3	CHAC1	FGFR1OP		LOC388910	OR2G2		NDUFB4	
					RPL28			ASCL3		ZPBP2		TMEM63C	C10orf93	C15orf29	SEC63		LOC388915	OR2C3		NKTR	
					RPS5			CHRNA10		TMEM132E		RHOJ	TCERG1L	ATP8B4	RBM16		LOC389286	TRIM11		OGG1	
					RPS9			PNPLA2		SPACA3		GALNTL1	HSPA12A	WDR76	CDC2L6		FLJ27365	MIXL1		OXTR	
					RPS11			KIAA1542		ANKRD13B		PLEKHH1	C10orf125	TMEM62	MAP3K7IP2		FLJ46257	C1orf124		CNTN3	
					RPS19			SCUBE2		C17orf50		TRMT5	C10orf39	SEMA6D	TSPYL4		FLJ44385	OBSCN		PCCB	
					RRAS			ZBED5		SLFN13		ZNF410	STK32C	KIAA1840	SASH1		FLJ41993	C1orf57		PDHB	
					RTN2			SIGIRR		AMAC1		NGB	KCNK18	ELL3	SYNE1		LOC440836	EFCAB2		PFKFB4	
					CLEC11A			RIC8A		UNC45B		RBM25	VWA2	C15orf48	HEY2		LOC553158	KIAA1804		PFN2	
					SEPW1			MRPL17		SLFN5		C14orf133	NANOS1	C15orf41	HEBP2			ZNF496		PIK3CB	
					SLC1A5			EPS8L2		RHBDL3		SMOC1	NHLRC2	SPPL2A	ASF1A			C1orf198		PLCD1	
					SLC8A2			STK33		RDM1		C14orf4	C10orf96	ZFYVE19	CCDC28A			DISP1		PLOD2	
					SNRP70			CHID1		GAS2L2		MPP5	C10orf120	FRMD5	MTHFD1L			WNT3A		PLS1	
					SNRPD2			OR51G1		C17orf66		C14orf135	LOC399818	DISP2	MOXD1			HIST3H2A		PLSCR1	
					SPIB			OR51B4		PIGW		GPR135	FLJ46831	CHRFAM7A	PIP3-E			ZNF670		PLXNA1	
					AURKC			OR51B2		C17orf78		C14orf140	FLJ46300	FAM7A2	TIAM2			NLRP3		PLXNB1	
					SULT2B1			OR52N1		GSDM1		C14orf169	FLJ44653	ATPBD4	FBXO5			FAM36A		POU1F1	
					SULT2A1			RIC3		STAC2		C14orf45	C10orf85	CCDC32	RGS17			C1orf142		PPARG	
					SYT5			SLC25A22		EFCAB5		SGPP1	FAM45A	C15orf23	PDE7B			C1orf96		PPP2R3A	
					TNNI3			ATHL1		TMIGD1		C14orf156	SPRN	BMF	SESN1			OR2M5		PRKAR2A	
					TNNT1			OR51G2		CCL4L2		DNAL1	NPS	SHF	DLL1			OR2M3		PRKCD	
					TULP2			OR51E2		FLJ44815		RPS6KL1	FLJ45557	DUOXA1	OSTM1			OR2T12		PROS1	
					NR1H2			PTDSS2		TBC1D3B		SYT16		D4ST1	MRPL18			OR5BF1		PTHR1	
					VASP			HCCA2		TBC1D3C		STON2		CASC4	SART2			OR2T34		PTPRG	
					XRCC1			SBF2		CCL3L3		KIAA1737		TGM7	CLDN20			OR2T10		QARS	
					ZNF8			C11orf56		GPR179		PAPLN		CATSPER2	NOX3			OR2T4		RAB5A	
					ZNF17			TRIM5		FBXO47		CHURC1		TRIM69	HDDC2			OR2T11		RAF1	
					ZNF28			SYT8		TBC1D3G		C14orf43		C15orf43	TFB1M			OR2B11		RARB	
					MZF1			PRKCDBP				LIN52		TMCO5	TUBE1			WDR64		RASA2	
					ZNF45			ODF3				NEK9		ZNF690	CDC40			C1orf131		RBP1	
					ZNF221			OSBPL5				C14orf179		TTBK2	RWDD1			EDARADD		RBP2	
					ZNF222			LRRC56				WDR89		CDAN1	AIG1			MRPL55		RHO	
					ZNF132			MRGPRE				C14orf149		STRC	SNX9			HIST3H2BB		ROBO1	
					ZNF134			ART5				NAT12		OTUD7A	C6orf55			C1orf58		ROBO2	
					ZNF135			TRIM6				GPHB5		SPRED1	BRP44L			SLC35F3		RPL15	
					ZNF137			OR52E2				C14orf148		PGBD4	HECA			B3GALNT2		RPL24	
					ZNF155			OR52J3				JDP2		ADAL	IL20RA			C1orf150		RPL29	
					ZNF175			OR51L1				HBLD1		EXDL1	UNC93A			CNIH3		RPL32	
					ZNF180			OR51A7				ACOT4		FSIP1	MTRF1L			LOC149134		RPN1	
					ZNF223			OR51S1				RDH12		RHOV	AHI1			EXOC8		RYK	
					ZNF224			OR51F2				C14orf50		C15orf33	RMND1			C1orf55		SATB1	
					ZNF225			OR52R1				SLC38A6		UBR1	PHF10			C1orf71		ATXN7	
					ZNF226			OR52M1				C14orf37		AGPAT7	VNN3			C1orf65		SCN5A	
					ZNF227			OR52K2				ZADH1		PLA2G4F	C6orf70			PLD5		SCN10A	
					ZNF228			OR5P2				C14orf44		LRRC57	ECHDC1			C1orf100		SEC13L1	
					ZNF229			OR5P3				C14orf166B		NUT	AGPAT4			C1orf69		SEMA3F	
					ZNF230			OR2D3				THSD3		C15orf21	TULP4			OR2T6		SETMAR	
					SYMPK			OR2D2				C14orf145		SLC24A5	GOPC			C1orf101		SLC6A1	
					TEAD2			OR52W1				C14orf54		FAM98B	GPR126			PGBD2		SLC6A6	
					PPFIA3			OR56A4				C14orf83		PLA2G4D	KIAA1244			OR2L13		SLC6A11	
					PLA2G4C			OR56A1				TMEM30B		GOLGA8G	PLEKHG1			OR5AT1		SLC15A2	
					NAPA			SYT9				C14orf174		USP50	ARID1B			LIN9		SLCO2A1	
					SIGLEC5			OR52B4				ZDHHC22		FLJ43339	SERINC1			VN1R5		HLTF	
					PGLYRP1			C11orf40				TMED8		SHC4	ZBTB2			ZNF678		SMARCC1	
					UBE2M			OR52I2				C14orf178		FLJ35695	PBOV1			MPN2		STAC	
					ARHGEF1			OR51E1				C14orf39		FLJ39531	TRMT11			OR6F1		NEK4	
					PSCD2			UBQLNL				CHX10		DUOXA2	PERP			OR5AY1		SYN2	
					ZNF235			OR10A5				RAB15		LOC440248	SMOC2			OR2W3		TCTA	
					ZNF264			OR2AG1				UNQ9438		GOLGA8B	ALDH8A1			OR2T8		TDGF1	
					NCR1			DNHD1				HEATR4		EIF2AK4	MICAL1			OR2T3		TF	
					NAPSA			SCGB1C1				FLJ39779		FLJ32679	ULBP3			OR2T29		TFDP2	
					KLK4			C11orf42				MGC88374		CKMT1A	OR2A4			IRF2BP2		TGM4	
					ZNF432			NLRP6				ACOT1		SERINC4	C6orf211			C1orf95		TGFBR2	
					DHX34			OR56B4				ACOT6		C15orf45	C6orf60			FAM89A		THRB	
					SAE1			OR52B2				FLJ43390		FLJ38596	ZDHHC14			C1orf31		TIMP4	
					TRIM28			C11orf35							FRMD1			FLJ45717		TKT	
					ZNF256			OR51F1							C6orf208			OR11L1		TM4SF4	
					LILRB2			OR51B5							C6orf97			OR2L8		TMF1	
					TOMM40			OR51V1							MYCT1			OR2AK2		CLEC3B	
					ZNF211			EFCAB4A							ULBP2			OR2L3		TNNC1	
					RABAC1			TMEM80							ULBP1			OR2M2		TOP2B	
					ZNF234			C11orf47							LPAL2			OR2T33		NR2C2	
					ZNF274			OR10A4							PPP1R14C			OR2M7		TRH	
					ZNF460			OLFML1							RNF146			C1orf140		TRPC1	
					PPP1R13L			C11orf36							SF3B5			FLJ43505		UBE1L	
					CD3EAP			NLRP10							TAAR8			OR2T2		UBE2E1	
					RUVBL2			NLRP14							RSHL2			OR2T5		UBE2E2	
					LILRB1			TMEM16J							TTLL2			OR5BU1		UBP1	
					KDELR1			B4GALNT4							ARMC2			OR2T27		UPK1B	
					LILRB5			OR52L1							FBXO30			OR2T35		UMPS	
					SLC27A5			OR2AG2							BXDC1			TRIM67		USP4	
					LILRB4			OR52B6							L3MBTL3			LOC440742		UQCRC1	
					KLK11			OR10A2							FAM120B			OR2W5		VHL	
					LILRA1			OVCH2							FNDC1			LOC645745		VIPR1	
					LILRB3			PDDC1							RSPO3					WNT5A	
					LILRA3			GALNTL4							LRP11					WNT7A	
					LILRA2			KRTAP5-1							LTV1					XPC	
					SFRS16			KRTAP5-3							SERAC1					ZIC1	
					KPTN			KRTAP5-4							REPS1					CNBP	
					KLK8			IFITM5							PPIL4					ZNF35	
					PNKP			OR56B1							SLC22A16					ZNF80	
					U2AF2			OR52K1							KIAA1919					ZNF148	
					ATF5			OR52I1							ARHGAP18					BRPF1	
					SAPS1			OR51D1							SYTL3					IFRD2	
					CARD8			OR52A4							C6orf51					MAPKAPK3	
					CIC			OR52A5							FAM54A					SEMA3B	
					ETHE1			OR51B6							SFT2D1					SLMAP	
					RPL13A			OR51M1							KIAA1913					ARMET	
					SYNGR4			OR51Q1							NUS1					RAB7	
					LILRA4			OR51I1							C6orf72					COLQ	
					ZIM2			OR51I2							IL22RA2					ACOX2	
					CBLC			OR52D1							C6orf192					BAP1	
					NUP62			OR52H1							SLC16A10					EOMES	
					HSPBP1			OR52N4							TAGAP					HYAL3	
					PPP1R15A			OR52N5							DEADC1					SOX14	
					EML2			OR52N2							C6orf213					BFSP2	
					ZNF324			OR52E6							TAAR9					CAMK1	
					KLK5			OR52E8							TAAR1					CGGBP1	
					PRKD2			OR52E4							STXBP5					BHLHB2	
					ZNF473			OR52E5							NCOA7					RUVBL1	
					KLK13			OR56A3							HINT3					CADPS	
					CCDC9			OR10A6							PACRG					HYAL2	
					PRPF31			OR51T1							RAET1E					B4GALT4	
					IRF2BP1			OR51A4							CNKSR3					SNX4	
					FGF21			OR51A2							RAET1L					SUCLG2	
					ZNF285			KRTAP5-2							SAMD3					HESX1	
					SIGLEC7			KRTAP5-6							SLC2A12					PCAF	
					LYPD3			TMEM41B							PNLDC1					NR1I2	
					BBC3			TRIM6-TRIM34							IBRDC1					BSN	
					DKKL1			INS-IGF2							TCBA1					MBD4	
					SIGLEC9										OLIG3					H1FX	
					SIGLEC8										TXLNB					LIMD1	
					GPR77										DACT2					KALRN	
					CHMP2A										C6orf118					CCRL2	
					DHDH										LOC202459					UBE1C	
					ZNF544										C6orf199					RPL14	
					UBE2S										NT5DC1					SEC22C	
